,Unnamed: 0,customerid,bank_name_clients,employment_status_clients,level_of_education_clients,No_of_prevloans,Total_amount_borrowed,Total_amount_due,Average_termdays,last_approveddate,last_creationdate,last_closeddate,last_firstduedate,last_firstrepaiddate,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,good_bad_flag,age,bank_account_type_Current,bank_account_type_Other,bank_account_type_Savings,loan_close_time,loan_approval_time,loan_firstPayment_time
0,0,8a858e135cb22031015cbafc76964ebd,GT Bank,6,4,1.0,10000.0,11500.0,15.0,2017-06-19 17:55:26,2017-06-19 16:54:19,2017-07-04 18:09:47,2017-07-05 00:00:00.000000,2017-07-04 17:59:36,301964962.0,2.0,2017-07-05 14:29:48.000000,2017-07-05 13:29:42.000000,10000.0,13000.0,30.0,Good,50.0,False,False,True,15.0,1.0186111111111111,15.0
1,1,8a858e275c7ea5ec015c82482d7c3996,Sterling Bank,1,4,1.0,10000.0,13000.0,30.0,2017-06-07 12:47:30,2017-06-07 11:46:22,2017-07-10 08:52:54,2017-07-07 00:00:00.000000,2017-07-10 08:42:44,301972172.0,2.0,2017-07-10 21:21:46.000000,2017-07-10 20:21:40.000000,10000.0,13000.0,30.0,Bad,38.0,False,False,True,32.0,1.018888888888889,32.0
2,2,8a858e5b5bd99460015bdc95cd485634,Fidelity Bank,6,4,3.0,30000.0,36000.0,20.0,2017-06-08 11:49:34,2017-06-08 10:49:27,2017-07-11 10:12:20,2017-07-10 00:00:00.000000,2017-07-11 10:02:11,301976271.0,4.0,2017-07-13 15:40:27.000000,2017-07-13 14:40:19.000000,10000.0,13000.0,30.0,Good,37.0,False,False,True,32.0,1.0019444444444445,32.0
3,3,8a858efd5ca70688015cabd1f1e94b55,GT Bank,1,4,1.0,10000.0,11500.0,15.0,2017-06-15 14:05:26,2017-06-15 13:04:18,2017-07-18 19:24:13,2017-06-30 00:00:00.000000,2017-07-18 19:14:05,301997763.0,2.0,2017-07-26 21:03:17.000000,2017-07-26 20:03:09.000000,10000.0,11500.0,15.0,Good,32.0,False,False,True,33.0,1.018888888888889,33.0
4,4,8a858e785acd3412015acd48f4920d04,GT Bank,1,4,,,,,,,,,,,,,,,,,,41.0,False,False,True,,,
5,5,8a858f045bc9690c015bca251e9a4e95,GT Bank,1,4,,,,,,,,,,,,,,,,,,45.0,False,False,True,,,
6,6,8a858ea05a859123015a8892914d15b7,Access Bank,1,4,5.0,70000.0,88000.0,30.0,2017-06-27 13:07:32,2017-06-27 12:06:24,2017-07-21 21:57:17,2017-07-27 00:00:00.000000,2017-07-21 21:47:08,301992494.0,6.0,2017-07-23 21:44:43.000000,2017-07-23 20:44:36.000000,20000.0,24500.0,30.0,Good,33.0,False,False,True,24.0,1.018888888888889,24.0
7,7,8a858f275c451af5015c546a50ce55ed,GT Bank,1,4,,,,,,,,,,,,,,,,,,37.0,False,False,True,,,
8,8,8a858f405d13c45f015d13dd93ec0c1c,EcoBank,1,4,1.0,10000.0,13000.0,30.0,2017-07-05 22:09:14,2017-07-05 21:09:01,2017-07-21 22:30:09,2017-08-04 00:00:00.000000,2017-07-21 22:19:59,302000213.0,2.0,2017-07-28 10:13:02.000000,2017-07-28 09:12:57.000000,10000.0,13000.0,30.0,Good,31.0,False,False,True,16.0,1.003611111111111,16.0
9,9,8a858f735c161bda015c164d86632026,EcoBank,1,4,,,,,,,,,,,,,,,,,,59.0,False,False,True,,,
10,10,8a858f2a5ce989dd015ce9fc24b1474b,FCMB,6,4,1.0,10000.0,11500.0,15.0,2017-06-27 16:00:15,2017-06-27 14:59:04,2017-07-06 17:52:25,2017-07-12 00:00:00.000000,2017-07-06 17:42:16,301966939.0,2.0,2017-07-06 18:25:57.000000,2017-07-06 17:25:52.000000,10000.0,13000.0,30.0,Bad,29.0,False,False,True,9.0,1.0197222222222222,9.0
11,11,8a858f3a5c10828d015c109746d20aee,Skye Bank,1,4,1.0,10000.0,13000.0,30.0,2017-05-17 19:07:07,2017-05-17 18:05:59,2017-06-01 14:49:36,2017-06-16 00:00:00.000000,2017-06-01 14:39:27,301983781.0,2.0,2017-07-18 12:55:38.000000,2017-07-18 11:55:30.000000,10000.0,13000.0,30.0,Good,53.0,False,False,True,14.0,1.018888888888889,14.0
12,12,8a858fb4563228d201564fd7519f22a8,UBA,4,3,6.0,90000.0,106200.0,22.5,2017-05-31 11:15:44,2017-05-31 10:15:38,2017-06-30 05:59:42,2017-06-30 00:00:00.000000,2017-06-30 04:46:08,301960555.0,7.0,2017-07-03 07:07:04.000000,2017-07-03 06:05:58.000000,30000.0,34500.0,30.0,Good,30.0,False,True,False,29.0,1.0016666666666667,29.0
13,13,8a858e9d59e0997b0159eae2e4fa7611,Zenith Bank,6,4,,,,,,,,,,,,,,,,,,35.0,False,False,True,,,
14,14,8a858f955a61ad4e015a69ee1edd0d3d,GT Bank,1,4,4.0,50000.0,60500.0,22.5,2017-06-20 17:00:17,2017-06-20 16:00:10,2017-07-18 08:39:31,2017-07-20 00:00:00.000000,2017-07-18 08:29:22,301983384.0,5.0,2017-07-18 09:50:12.000000,2017-07-18 08:50:06.000000,20000.0,24500.0,30.0,Good,38.0,False,False,True,27.0,1.0019444444444445,27.0
