No_of_prevloans,Total_amount_due,Average_termdays,loannumber,good_bad_flag,age,bank_account_type_Current,loan_approval_time,loan_firstPayment_time
1.0,11500.0,15.0,2.0,1,50.0,0,1.0186111111111111,15.0
1.0,13000.0,30.0,2.0,0,38.0,0,1.018888888888889,32.0
3.0,36000.0,20.0,4.0,1,37.0,0,1.0019444444444443,32.0
1.0,11500.0,15.0,2.0,1,32.0,0,1.018888888888889,33.0
5.0,88000.0,30.0,6.0,1,33.0,0,1.018888888888889,24.0
1.0,13000.0,30.0,2.0,1,31.0,0,1.003611111111111,16.0
1.0,11500.0,15.0,2.0,0,29.0,0,1.0197222222222222,9.0
1.0,13000.0,30.0,2.0,1,53.0,0,1.018888888888889,14.0
6.0,106200.0,22.5,7.0,1,30.0,0,1.0016666666666667,29.0
4.0,60500.0,22.5,5.0,1,38.0,0,1.0019444444444443,27.0
3.0,39000.0,30.0,4.0,1,35.0,0,1.0025,33.0
1.0,13000.0,30.0,2.0,1,36.0,0,1.018888888888889,21.0
6.0,120350.0,27.5,7.0,0,35.0,0,1.0019444444444443,39.0
2.0,26000.0,30.0,3.0,1,41.0,0,1.0191666666666668,28.0
7.0,143987.5,23.571428571428573,8.0,1,33.0,0,1.0055555555555555,27.0
6.0,151700.0,37.5,7.0,1,36.0,0,1.003611111111111,44.0
6.0,70500.0,17.5,7.0,1,39.0,0,1.0019444444444443,14.0
1.0,13000.0,30.0,2.0,1,38.0,0,1.0030555555555556,26.0
10.0,311950.0,33.0,11.0,1,34.0,0,1.0186111111111111,27.0
5.0,88000.0,30.0,6.0,1,36.0,0,1.018888888888889,30.0
1.0,13000.0,30.0,2.0,1,40.0,0,1.0052777777777775,29.0
6.0,111300.0,30.0,7.0,1,41.0,0,1.0019444444444443,28.0
1.0,13000.0,30.0,2.0,1,37.0,0,1.0191666666666668,7.0
1.0,11500.0,15.0,2.0,1,46.0,1,1.0205555555555557,9.0
1.0,13000.0,30.0,2.0,1,36.0,0,1.0019444444444443,32.0
7.0,125500.0,30.0,8.0,1,36.0,0,1.0019444444444443,28.0
9.0,189400.0,26.666666666666668,10.0,1,44.0,0,1.0197222222222222,28.0
1.0,13000.0,30.0,2.0,1,47.0,0,1.0191666666666668,27.0
11.0,391275.0,45.0,12.0,1,41.0,0,1.018888888888889,29.0
1.0,13000.0,30.0,2.0,1,51.0,0,1.018888888888889,28.0
1.0,13000.0,30.0,2.0,1,32.0,0,1.018888888888889,21.0
2.0,26000.0,30.0,3.0,1,35.0,0,1.002222222222222,39.0
1.0,11500.0,15.0,2.0,1,42.0,0,1.0019444444444443,14.0
12.0,240275.0,28.75,13.0,1,39.0,0,1.0019444444444443,26.0
3.0,37500.0,25.0,4.0,1,35.0,0,1.0019444444444443,44.0
1.0,13000.0,30.0,2.0,1,29.0,0,1.0030555555555556,7.0
1.0,13000.0,30.0,2.0,1,49.0,0,1.0041666666666669,30.0
8.0,167800.0,31.875,9.0,0,35.0,0,1.0019444444444443,29.0
3.0,39000.0,30.0,4.0,1,34.0,0,1.0027777777777778,29.0
8.0,123975.0,24.375,9.0,1,36.0,0,1.0019444444444443,12.0
2.0,26000.0,30.0,3.0,1,34.0,0,1.0019444444444443,26.0
1.0,13000.0,30.0,2.0,0,34.0,0,1.0025,42.0
2.0,26000.0,30.0,3.0,1,40.0,0,1.0016666666666667,29.0
2.0,26000.0,30.0,3.0,1,41.0,0,1.0016666666666667,28.0
10.0,249900.0,24.0,11.0,1,34.0,0,1.0019444444444443,30.0
3.0,34500.0,15.0,4.0,1,36.0,0,1.0016666666666667,14.0
2.0,26000.0,30.0,3.0,0,38.0,0,1.002222222222222,29.0
1.0,13000.0,30.0,2.0,1,38.0,0,1.018888888888889,26.0
1.0,13000.0,30.0,2.0,1,50.0,0,1.018888888888889,25.0
